id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,tags
45,"90 is added to 60% of ‘X’ and the resultant is divided by 12. If the quotient is 50, what is the value of ‘X’?",750,800,850,900,c,Moderate,Percentages
46,"The sum of the numbers of boys and girls in a school is 400. If the number of boys is ‘X’, the number of girls becomes ‘X’% of the total number of students. What is the total number of boys?",50,60,75,80,d,Moderate,Percentages
47,"Due to an increment of 20% in the price of eggs, 5 less eggs are available for Rs. 200. What is the new rate of a dozen eggs?",Rs. 60,Rs. 72,Rs. 80,Rs. 96,d,Moderate,Percentages
48,"In 2020, 37.50% of the total employees of a company pay income tax. If 450 employees of the company did not pay tax, what is the total number of employees in the company?",600,660,720,780,c,Moderate,Percentages
49,"Raju, Sanju and Kartik purchased an identical bike for the same price and all of them sold their bikes one year later. Raju sold his bike 25% cheaper than that of Sanju and 25% dearer than that of Kartik. The amount at which Kartik sold his bike is what percentage of the amount at which Sanju sold his bike?",30,40,50,60,d,Moderate,Percentages
50,"In an election between two candidates, 30% of the voters on the voters’ list did not cast their votes. The winner was supported by 40% of all voters on the list and he got 900 votes more than his rival. What was the total number of voters on the list?",9000,10000,12000,12500,a,Moderate,Percentages
51,The combined income of a village increased by 50% and the per capita income increased by 20% during a certain period. By what percentage did the population of the village increase during the same period?,10,15,20,25,d,Moderate,Percentages
52,"Jatin spent 25% of his income on travelling expenses and 33.33% of the remaining on shopping. If the remaining amount left with Jatin is Rs. 14,400, find his income.","Rs. 20,000","Rs. 24,000","Rs. 25,000",None of these,d,Moderate,Percentages
53,A shopkeeper has some quantity of rice and some quantity of wheat. The total quantity of 20% rice and 30% wheat is 5/8 of the total quantity of 60% rice and 40% wheat. What is the ratio of the total quantity of rice to the total quantity of wheat?,1 : 1,1 : 2,3 : 2,None of these,d,Moderate,Percentages
54,"When 80 is added to 80% of a number, the resultant is the number itself. Find 50% of that number.",200,210,220,240,a,Moderate,Percentages
55,"Malini donated 25% of her income to a charity and deposited 40% of the rest in a bank. If she is left with Rs. 10,800, what is her income?","Rs. 20,000","Rs. 24,000","Rs. 25,000","Rs. 27,000",b,Moderate,Percentages
56,"In an exam, the marks scored by A are 40% more than the marks scored by B who has scored 25% less than the marks scored by C. If C scores 250 and the full marks of the exam is 500, what is the percentage of marks obtained by A?",47.50,50,52.50,57.50,c,Moderate,Percentages
57,"A worker’s hourly wages increased by 20% and his weekly working hours reduced by 10%. If the worker was getting Rs. 1200 per week previously, what would be his weekly wages now?","Rs. 1,296","Rs. 1,331","Rs. 1,444","Rs. 1,600",a,Moderate,Percentages
58,A student got 175 marks in a test paper. His percent of marks would have been 47.50% had he got 15 more marks. Find the percentage of marks he actually got.,37.50,40,43.75,48,c,Moderate,Percentages
59,"A has twice as much money as B and B has 50% more money than C. If the average money with them is Rs. 12,100, how much money does A have?","Rs. 12,500","Rs. 14,400","Rs. 16,800","Rs. 19,800",d,Moderate,Percentages
60,"A person spent 50% of his monthly income on household expenses and 40% of the remaining on the rent. If the remaining amount left with the person is Rs. 4800, find his annual income.","Rs. 16,000","Rs. 18,500","Rs. 1,72,000","Rs. 1,92,000",d,Moderate,Percentages
61,"Joy's income is 50% more than Kim's income, and his savings are 37.5% less than Kim's expenditure. Kim's savings is 80% less than Joy's expenditure. If the combined savings of Joy and Kim is Rs. 31,500, what is the income (in Rs.) of Kim?","42,000","45,000","54,000","36,000",b,Difficult,Percentages
62,"In an election between three candidates A, B and C, 20% of the eligible voters did not cast their votes and 200 of the cast votes were declared invalid. A got 50% of the valid votes and won by 2520 votes. C was the last among them and got 20% of the valid votes. How many eligible voters were there on the list?","16,000","21,000","24,000","14,400",a,Difficult,Percentages
63,"The number of employees in company A is 80% of the number of employees in company B, and the number of employees in company C is 40% less than that in company B. The average number of employees in companies A, B and C is 4800. There are 1200 and 1400 male employees in A and C, respectively. What is the average number of female employees in companies A and C?",2900,3200,2500,2600,a,Difficult,Percentages
64,"A salesman's commission rate changed from 10% of the total sales to a fixed salary of Rs. 30,000 per month plus 4% commission on sales exceeding Rs. 1 lakh. The new remuneration is Rs. 5,000 more than that from the previous scheme. What was the salesman's monthly sales amount (in Rs.) assuming equal monthly sales?","3,50,000","2,90,000","3,60,000","3,75,000",a,Difficult,Percentages
65,"The maximum marks for exams W, X, Y and Z are 120%, 150%, 80% and 100%, respectively, of the maximum marks for exam V. The score obtained in V, W, X, Y and Z are in the ratio 7 : 5 : 11 : 4 : 6. The total percentage score of Z and V together is 65%. What is the overall percentage score of all the exams?",55%,60%,75%,72%,b,Difficult,Percentages
66,"A student scored 60% in Mathematics and 80% in Science, both subjects having equal maximum marks. He then falsely increased his obtained marks by 10% in Mathematics and by 5% in Science, and also increased the maximum marks by 40% for Mathematics and by ‘Y’% for Science. If the original overall percentage was 40% more than the adjusted overall percentage score, find the value of ‘Y’.",60%,50%,75%,62.5%,A,Difficult,Percentages
67,"Four friends, Aman, Bhavesh, Seema and Karan, decided to pool their money together to donate to a charity. They had a total of Rs. 900. Aman had three times the amount that Seema had, while Bhavesh had Rs. 60 more than Karan. Aman and Bhavesh together had double the amount that Seema and Karan together had. Find the amount (in Rs.) with Aman.",360,240,320,450,a,Difficult,Percentages
68,"A school had two exams, Maths and Science, and the number of students who passed the Maths exam was 28.57% higher than the number of students who passed the Science exam. Of those who took the Maths exam, 25% failed, and of those who took the Science exam, 30% failed. The total number of students who failed any of the two exams was 90. If each student appeared for exactly one exam, what was the total number of students?350",350,330,370,280,b,Difficult,Percentages
69,"A group of friends went out for dinner and the total bill was Rs. 6400. Aman paid twice as much as Bhavesh, Chirag paid 25% less than Bhavesh and Dinesh paid 66.67% more than Chirag. A sum of Rs. 1600 was spent on fuel which was split equally among them. What percent of the total expenses were paid by Dinesh?",33.33%,20%,12.5%,25%,d,Difficult,Percentages
70,"The population of a town is 384,000 and the number of females is 40% more than the number of males. Out of the total male population, 40% are adults and the rest are children. Out of the total female population, 50% are adults and the rest are children. Find the total number of children in the town.","2,12,000","2,08,000","1,96,000","2,16,000",b,Difficult,Percentages
71,"In a school, there are a total of 1200 students, including all age groups. 62.5% of the students below the age of 10 are enrolled in the music club, out of which 40% attend the club regularly. Among the students who are aged 10 years or more, 30% of the students enrolled for music club and 25% of them attend the club regularly. If 174 students attend the club regularly, how many students in the school are aged 10 years or more?",560,720,600,840,b,Difficult,Percentages
72,"The number of workers in a factory is 800 more than that of supervisors. The total number of supervisors selected for a training session is 24 less than the number of workers selected. The number of supervisors and the number of workers selected for the training session are 8% and 6%, respectively. How many supervisors are selected for the training?",72,108,96,84,c,Difficult,Percentages
73,"A father splits his money among his four children, A, B, C and D, in a certain way. A gets 25% of the total amount, B gets 60% of what A gets and D gets Rs. 5400 more than what C gets. If the average amount of money each child has is 10% of the father's salary, and the father's salary is Rs. 60,000, what is the amount (in Rs.) that D received?",8400,9600,9900,10500,c,Difficult,Percentages
74,"A store has three products, X, Y and Z, with production costs in the ratio of 8 : 5 : 7. If the store sells X, Y and Z with profits of 25%, 22%, and 20%, respectively, what is the total percentage profit from all three products?",22.5%,20.5%,21.33%,24.33%,a,Difficult,Percentages
75,"A group of investors invest a certain amount in a startup. They make a profit of 50% of the total investment each year and reinvest 80% of the total revenue (principal + profit) in the business while distributing the remaining revenue as a bonus to the employees. They repeat this cycle for 3 years. If the revenue at the end of the third year was Rs. 75,600, what was the amount (in Rs.) of money they distributed as bonuses at the end of the 2nd year?","12,600","14,300","11,600","13,200",a,Difficult,Percentages
76,"Raman and Kajal have a certain number of chocolates with them. Kajal says to Raman “If I give you 20% of my chocolates, I will have 12 fewer chocolates than you”. Raman says to Kajal, “If I give you chocolates equal to 37.5% of your chocolates, you will have 5 times as many chocolates as me”. What is the total number of chocolates with them?",396,356,420,442,a,Difficult,Percentages
77,"The number of members in club P to that in Q is in the ratio of p : q. In clubs P and Q, 80% and 50% of the members are male, respectively, and the difference between the number of females is 10% of the total number of members in P and Q combined. What is the value of 7p + 5q, if there are more females in Q than in P?",45,43,64,37,b,Difficult,Percentages
78,"Two shopkeepers A and B sold some watches and pens. The number of pens sold by A is three times the number of watches sold by B. The number of watches sold by A is 25% of the number of pens sold by B. If the total number of products sold by B is twice the total number of products sold by A, what is the total number of watches sold as a percentage of the total number of pens sold?",21.33%,28.56%,26.92%,31.45%,c,Difficult,Percentages
79,"In a college election, there were two candidates: A and B. The number of people who did not vote is six times the difference between the valid votes of the two candidates. 25% of the cast votes were declared invalid. The valid votes winner got is 39% of the cast votes and he won by 84 votes. What was the total number of voters on the voting list?",3280,3350,3416,3304,d,Difficult,Percentages
80,"A teacher distributes some chocolates equally among all the students of a class. Each student gets 4 chocolates more than the total number of students in the class. If each student gets 2 chocolates less than the total number of students in the class, the teacher has to distribute 25% fewer chocolates. By what percent the total number of chocolates should be increased, such that on even distribution each student gets 8 chocolates more than the number of students in the class?",12.5%,16.67%,8.33%,15%,b,Difficult,Percentages
